Altium Designer Pick and Place Locations
C:\Users\Ocanath\Google Drive\Projects\PCB\Altium\Projects\mag-encoder-uart\Project Outputs for mag-encoder-uart\Pick Place for panel.csv

========================================================================================================================
File Design Information:

Date:       23/07/20
Time:       20:35
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Center-X(mm)","Center-Y(mm)","Layer","Rotation"
"C1","21.6000","-20.4000","TopLayer","90"
"C2","29.6000","-26.0000","TopLayer","180"
"C3","20.7000","-21.6000","TopLayer","90"
"C4","24.5000","-15.5000","TopLayer","0"
"C5","30.9000","-20.9000","BottomLayer","360"
"C6","31.5780","-25.0120","TopLayer","180"
"C7","22.2950","-16.2490","TopLayer","360"
"C8","31.1000","-22.1000","BottomLayer","180"
"J3","32.5000","-17.0000","TopLayer","315"
"U2","27.0000","-20.7000","BottomLayer","270"
"U1","27.0000","-20.7000","TopLayer","0"
"R1","33.9000","-20.2000","TopLayer","360"
"LED1","32.6000","-21.0499","TopLayer","270"
"J2","27.0000","-12.7500","TopLayer","180"
"C1","21.6000","21.0000","TopLayer","90"
"C2","29.6000","15.4000","TopLayer","180"
"C3","20.7000","19.8000","TopLayer","90"
"C4","24.5000","25.9000","TopLayer","0"
"C5","30.9000","20.5000","BottomLayer","360"
"C6","31.5780","16.3880","TopLayer","180"
"C7","22.2950","25.1510","TopLayer","360"
"C8","31.1000","19.3000","BottomLayer","180"
"J3","32.5000","24.4000","TopLayer","315"
"U2","27.0000","20.7000","BottomLayer","270"
"U1","27.0000","20.7000","TopLayer","0"
"R1","33.9000","21.2000","TopLayer","360"
"LED1","32.6000","20.3501","TopLayer","270"
"J2","27.0000","28.6500","TopLayer","180"
"C1","21.6000","0.3000","TopLayer","90"
"C2","29.6000","-5.3000","TopLayer","180"
"C3","20.7000","-0.9000","TopLayer","90"
"C4","24.5000","5.2000","TopLayer","0"
"C5","30.9000","-0.2000","BottomLayer","360"
"C6","31.5780","-4.3120","TopLayer","180"
"C7","22.2950","4.4510","TopLayer","360"
